id,age,city,channel,score,flag,region,sku,qty,price,day,note
24,42,beijing,web,8.00,true,beijing,SKU-024,1,13.90,2026-01-25,ok
25,43,shanghai,app,8.33,false,beijing,SKU-025,2,14.90,2026-01-26,ok
26,44,shenzhen,retail,8.67,true,shanghai,SKU-026,3,15.90,2026-01-27,ok
27,45,guangzhou,web,9.00,false,shanghai,SKU-027,4,16.90,2026-01-28,ok
28,46,chengdu,app,9.33,true,shenzhen,SKU-028,5,17.90,2026-01-01,ok
29,47,hangzhou,retail,9.67,false,shenzhen,SKU-029,6,18.90,2026-01-02,ok
30,48,beijing,web,10.00,true,guangzhou,SKU-030,7,19.90,2026-01-03,ok
31,49,shanghai,app,10.33,false,guangzhou,SKU-031,8,20.90,2026-01-04,ok
32,50,shenzhen,retail,10.67,true,chengdu,SKU-032,1,21.90,2026-01-05,ok
33,51,guangzhou,web,11.00,false,chengdu,SKU-033,2,22.90,2026-01-06,ok
34,52,chengdu,app,11.33,true,hangzhou,SKU-034,3,23.90,2026-01-07,ok
35,53,hangzhou,retail,11.67,false,hangzhou,SKU-035,4,24.90,2026-01-08,ok
36,54,beijing,web,12.00,true,beijing,SKU-036,5,25.90,2026-01-09,ok
37,55,shanghai,app,12.33,false,beijing,SKU-037,6,26.90,2026-01-10,ok
38,56,shenzhen,retail,12.67,true,shanghai,SKU-038,7,27.90,2026-01-11,ok
39,57,guangzhou,web,13.00,false,shanghai,SKU-039,8,28.90,2026-01-12,ok
40,58,chengdu,app,13.33,true,shenzhen,SKU-000,1,9.90,2026-01-13,ok
41,59,hangzhou,retail,13.67,false,shenzhen,SKU-001,2,10.90,2026-01-14,ok
42,60,beijing,web,14.00,true,guangzhou,SKU-002,3,11.90,2026-01-15,ok
43,61,shanghai,app,14.33,false,guangzhou,SKU-003,4,12.90,2026-01-16,ok
44,62,shenzhen,retail,14.67,true,chengdu,SKU-004,5,13.90,2026-01-17,ok
45,63,guangzhou,web,15.00,false,chengdu,SKU-005,6,14.90,2026-01-18,ok
46,64,chengdu,app,15.33,true,hangzhou,SKU-006,7,15.90,2026-01-19,ok
47,65,hangzhou,retail,15.67,false,hangzhou,SKU-007,8,16.90,2026-01-20,ok
48,66,beijing,web,16.00,true,beijing,SKU-008,1,17.90,2026-01-21,ok
49,67,shanghai,app,16.33,false,beijing,SKU-009,2,18.90,2026-01-22,ok
50,18,shenzhen,retail,16.67,true,shanghai,SKU-010,3,19.90,2026-01-23,ok
51,19,guangzhou,web,17.00,false,shanghai,SKU-011,4,20.90,2026-01-24,ok
52,20,chengdu,app,17.33,true,shenzhen,SKU-012,5,21.90,2026-01-25,ok
53,21,hangzhou,retail,17.67,false,shenzhen,SKU-013,6,22.90,2026-01-26,ok
54,22,beijing,web,18.00,true,guangzhou,SKU-014,7,23.90,2026-01-27,ok
55,23,shanghai,app,18.33,false,guangzhou,SKU-015,8,24.90,2026-01-28,ok
56,24,shenzhen,retail,18.67,true,chengdu,SKU-016,1,25.90,2026-01-01,ok
57,25,guangzhou,web,19.00,false,chengdu,SKU-017,2,26.90,2026-01-02,ok
58,26,chengdu,app,19.33,true,hangzhou,SKU-018,3,27.90,2026-01-03,ok
59,27,hangzhou,retail,19.67,false,hangzhou,SKU-019,4,28.90,2026-01-04,ok
60,28,beijing,web,20.00,true,beijing,SKU-020,5,9.90,2026-01-05,ok
61,29,shanghai,app,20.33,false,beijing,SKU-021,6,10.90,2026-01-06,ok
62,30,shenzhen,retail,20.67,true,shanghai,SKU-022,7,11.90,2026-01-07,ok
63,31,guangzhou,web,21.00,false,shanghai,SKU-023,8,12.90,2026-01-08,ok
64,32,chengdu,app,21.33,true,shenzhen,SKU-024,1,13.90,2026-01-09,ok
65,33,hangzhou,retail,21.67,false,shenzhen,SKU-025,2,14.90,2026-01-10,ok
66,34,beijing,web,22.00,true,guangzhou,SKU-026,3,15.90,2026-01-11,ok
67,35,shanghai,app,22.33,false,guangzhou,SKU-027,4,16.90,2026-01-12,ok
68,36,shenzhen,retail,22.67,true,chengdu,SKU-028,5,17.90,2026-01-13,ok
69,37,guangzhou,web,23.00,false,chengdu,SKU-029,6,18.90,2026-01-14,ok
70,38,chengdu,app,23.33,true,hangzhou,SKU-030,7,19.90,2026-01-15,ok
71,39,hangzhou,retail,23.67,false,hangzhou,SKU-031,8,20.90,2026-01-16,ok
72,40,beijing,web,24.00,true,beijing,SKU-032,1,21.90,2026-01-17,ok
73,41,shanghai,app,24.33,false,beijing,SKU-033,2,22.90,2026-01-18,ok
74,42,shenzhen,retail,24.67,true,shanghai,SKU-034,3,23.90,2026-01-19,ok
75,43,guangzhou,web,25.00,false,shanghai,SKU-035,4,24.90,2026-01-20,ok
76,44,chengdu,app,25.33,true,shenzhen,SKU-036,5,25.90,2026-01-21,ok
77,45,hangzhou,retail,25.67,false,shenzhen,SKU-037,6,26.90,2026-01-22,ok
78,46,beijing,web,26.00,true,guangzhou,SKU-038,7,27.90,2026-01-23,ok
79,47,shanghai,app,26.33,false,guangzhou,SKU-039,8,28.90,2026-01-24,ok
80,48,shenzhen,retail,26.67,true,chengdu,SKU-000,1,9.90,2026-01-25,ok
81,49,guangzhou,web,27.00,false,chengdu,SKU-001,2,10.90,2026-01-26,ok
82,50,chengdu,app,27.33,true,hangzhou,SKU-002,3,11.90,2026-01-27,ok
83,51,hangzhou,retail,27.67,false,hangzhou,SKU-003,4,12.90,2026-01-28,ok
84,52,beijing,web,28.00,true,beijing,SKU-004,5,13.90,2026-01-01,ok
85,53,shanghai,app,28.33,false,beijing,SKU-005,6,14.90,2026-01-02,ok
86,54,shenzhen,retail,28.67,true,shanghai,SKU-006,7,15.90,2026-01-03,ok
87,55,guangzhou,web,29.00,false,shanghai,SKU-007,8,16.90,2026-01-04,ok
88,56,chengdu,app,29.33,true,shenzhen,SKU-008,1,17.90,2026-01-05,ok
89,57,hangzhou,retail,29.67,false,shenzhen,SKU-009,2,18.90,2026-01-06,ok
90,58,beijing,web,30.00,true,guangzhou,SKU-010,3,19.90,2026-01-07,ok
91,59,shanghai,app,30.33,false,guangzhou,SKU-011,4,20.90,2026-01-08,ok
92,60,shenzhen,retail,30.67,true,chengdu,SKU-012,5,21.90,2026-01-09,ok
93,61,guangzhou,web,31.00,false,chengdu,SKU-013,6,22.90,2026-01-10,ok
94,62,chengdu,app,31.33,true,hangzhou,SKU-014,7,23.90,2026-01-11,ok
95,63,hangzhou,retail,31.67,false,hangzhou,SKU-015,8,24.90,2026-01-12,ok
96,64,beijing,web,32.00,true,beijing,SKU-016,1,25.90,2026-01-13,ok
97,65,shanghai,app,32.33,false,beijing,SKU-017,2,26.90,2026-01-14,ok
98,66,shenzhen,retail,32.67,true,shanghai,SKU-018,3,27.90,2026-01-15,ok
99,67,guangzhou,web,33.00,false,shanghai,SKU-019,4,28.90,2026-01-16,ok
100,18,chengdu,app,0.00,true,shenzhen,SKU-020,5,9.90,2026-01-17,ok
101,19,hangzhou,retail,0.33,false,shenzhen,SKU-021,6,10.90,2026-01-18,ok
102,20,beijing,web,0.67,true,guangzhou,SKU-022,7,11.90,2026-01-19,ok
103,21,shanghai,app,1.00,false,guangzhou,SKU-023,8,12.90,2026-01-20,ok
104,22,shenzhen,retail,1.33,true,chengdu,SKU-024,1,13.90,2026-01-21,ok
105,23,guangzhou,web,1.67,false,chengdu,SKU-025,2,14.90,2026-01-22,ok
106,24,chengdu,app,2.00,true,hangzhou,SKU-026,3,15.90,2026-01-23,ok
107,25,hangzhou,retail,2.33,false,hangzhou,SKU-027,4,16.90,2026-01-24,ok
108,26,beijing,web,2.67,true,beijing,SKU-028,5,17.90,2026-01-25,ok
109,27,shanghai,app,3.00,false,beijing,SKU-029,6,18.90,2026-01-26,ok
110,28,shenzhen,retail,3.33,true,shanghai,SKU-030,7,19.90,2026-01-27,ok
111,29,guangzhou,web,3.67,false,shanghai,SKU-031,8,20.90,2026-01-28,ok
112,30,chengdu,app,4.00,true,shenzhen,SKU-032,1,21.90,2026-01-01,ok
113,31,hangzhou,retail,4.33,false,shenzhen,SKU-033,2,22.90,2026-01-02,ok
114,32,beijing,web,4.67,true,guangzhou,SKU-034,3,23.90,2026-01-03,ok
115,33,shanghai,app,5.00,false,guangzhou,SKU-035,4,24.90,2026-01-04,ok
116,34,shenzhen,retail,5.33,true,chengdu,SKU-036,5,25.90,2026-01-05,ok
117,35,guangzhou,web,5.67,false,chengdu,SKU-037,6,26.90,2026-01-06,ok
118,36,chengdu,app,6.00,true,hangzhou,SKU-038,7,27.90,2026-01-07,ok
119,37,hangzhou,retail,6.33,false,hangzhou,SKU-039,8,28.90,2026-01-08,ok
120,38,beijing,web,6.67,true,beijing,SKU-000,1,9.90,2026-01-09,ok
121,39,shanghai,app,7.00,false,beijing,SKU-001,2,10.90,2026-01-10,ok
122,40,shenzhen,retail,7.33,true,shanghai,SKU-002,3,11.90,2026-01-11,ok
123,41,guangzhou,web,7.67,false,shanghai,SKU-003,4,12.90,2026-01-12,ok
124,42,chengdu,app,8.00,true,shenzhen,SKU-004,5,13.90,2026-01-13,ok
125,43,hangzhou,retail,8.33,false,shenzhen,SKU-005,6,14.90,2026-01-14,ok
126,44,beijing,web,8.67,true,guangzhou,SKU-006,7,15.90,2026-01-15,ok
127,45,shanghai,app,9.00,false,guangzhou,SKU-007,8,16.90,2026-01-16,ok
128,46,shenzhen,retail,9.33,true,chengdu,SKU-008,1,17.90,2026-01-17,ok
129,47,guangzhou,web,9.67,false,chengdu,SKU-009,2,18.90,2026-01-18,ok
130,48,chengdu,app,10.00,true,hangzhou,SKU-010,3,19.90,2026-01-19,ok
131,49,hangzhou,retail,10.33,false,hangzhou,SKU-011,4,20.90,2026-01-20,ok
132,50,beijing,web,10.67,true,beijing,SKU-012,5,21.90,2026-01-21,ok
133,51,shanghai,app,11.00,false,beijing,SKU-013,6,22.90,2026-01-22,ok
134,52,shenzhen,retail,11.33,true,shanghai,SKU-014,7,23.90,2026-01-23,ok
135,53,guangzhou,web,11.67,false,shanghai,SKU-015,8,24.90,2026-01-24,ok
136,54,chengdu,app,12.00,true,shenzhen,SKU-016,1,25.90,2026-01-25,ok
137,55,hangzhou,retail,12.33,false,shenzhen,SKU-017,2,26.90,2026-01-26,ok
138,56,beijing,web,12.67,true,guangzhou,SKU-018,3,27.90,2026-01-27,ok
139,57,shanghai,app,13.00,false,guangzhou,SKU-019,4,28.90,2026-01-28,ok
140,58,shenzhen,retail,13.33,true,chengdu,SKU-020,5,9.90,2026-01-01,ok
141,59,guangzhou,web,13.67,false,chengdu,SKU-021,6,10.90,2026-01-02,ok
142,60,chengdu,app,14.00,true,hangzhou,SKU-022,7,11.90,2026-01-03,ok
143,61,hangzhou,retail,14.33,false,hangzhou,SKU-023,8,12.90,2026-01-04,ok
144,62,beijing,web,14.67,true,beijing,SKU-024,1,13.90,2026-01-05,ok
145,63,shanghai,app,15.00,false,beijing,SKU-025,2,14.90,2026-01-06,ok
146,64,shenzhen,retail,15.33,true,shanghai,SKU-026,3,15.90,2026-01-07,ok
147,65,guangzhou,web,15.67,false,shanghai,SKU-027,4,16.90,2026-01-08,ok
148,66,chengdu,app,16.00,true,shenzhen,SKU-028,5,17.90,2026-01-09,ok
149,67,hangzhou,retail,16.33,false,shenzhen,SKU-029,6,18.90,2026-01-10,ok
150,18,beijing,web,16.67,true,guangzhou,SKU-030,7,19.90,2026-01-11,ok
151,19,shanghai,app,17.00,false,guangzhou,SKU-031,8,20.90,2026-01-12,ok
152,20,shenzhen,retail,17.33,true,chengdu,SKU-032,1,21.90,2026-01-13,ok
153,21,guangzhou,web,17.67,false,chengdu,SKU-033,2,22.90,2026-01-14,ok
154,22,chengdu,app,18.00,true,hangzhou,SKU-034,3,23.90,2026-01-15,ok
155,23,hangzhou,retail,18.33,false,hangzhou,SKU-035,4,24.90,2026-01-16,ok
156,24,beijing,web,18.67,true,beijing,SKU-036,5,25.90,2026-01-17,ok
157,25,shanghai,app,19.00,false,beijing,SKU-037,6,26.90,2026-01-18,ok
158,26,shenzhen,retail,19.33,true,shanghai,SKU-038,7,27.90,2026-01-19,ok
159,27,guangzhou,web,19.67,false,shanghai,SKU-039,8,28.90,2026-01-20,ok
160,28,chengdu,app,20.00,true,shenzhen,SKU-000,1,9.90,2026-01-21,ok
161,29,hangzhou,retail,20.33,false,shenzhen,SKU-001,2,10.90,2026-01-22,ok
162,30,beijing,web,20.67,true,guangzhou,SKU-002,3,11.90,2026-01-23,ok
163,31,shanghai,app,21.00,false,guangzhou,SKU-003,4,12.90,2026-01-24,ok
164,32,shenzhen,retail,21.33,true,chengdu,SKU-004,5,13.90,2026-01-25,ok
165,33,guangzhou,web,21.67,false,chengdu,SKU-005,6,14.90,2026-01-26,ok
166,34,chengdu,app,22.00,true,hangzhou,SKU-006,7,15.90,2026-01-27,ok
167,35,hangzhou,retail,22.33,false,hangzhou,SKU-007,8,16.90,2026-01-28,ok
168,36,beijing,web,22.67,true,beijing,SKU-008,1,17.90,2026-01-01,ok
169,37,shanghai,app,23.00,false,beijing,SKU-009,2,18.90,2026-01-02,ok
170,38,shenzhen,retail,23.33,true,shanghai,SKU-010,3,19.90,2026-01-03,ok
171,39,guangzhou,web,23.67,false,shanghai,SKU-011,4,20.90,2026-01-04,ok
172,40,chengdu,app,24.00,true,shenzhen,SKU-012,5,21.90,2026-01-05,ok
173,41,hangzhou,retail,24.33,false,shenzhen,SKU-013,6,22.90,2026-01-06,ok
174,42,beijing,web,24.67,true,guangzhou,SKU-014,7,23.90,2026-01-07,ok
175,43,shanghai,app,25.00,false,guangzhou,SKU-015,8,24.90,2026-01-08,ok
176,44,shenzhen,retail,25.33,true,chengdu,SKU-016,1,25.90,2026-01-09,ok
177,45,guangzhou,web,25.67,false,chengdu,SKU-017,2,26.90,2026-01-10,ok
178,46,chengdu,app,26.00,true,hangzhou,SKU-018,3,27.90,2026-01-11,ok
179,47,hangzhou,retail,26.33,false,hangzhou,SKU-019,4,28.90,2026-01-12,ok
180,48,beijing,web,26.67,true,beijing,SKU-020,5,9.90,2026-01-13,ok
181,49,shanghai,app,27.00,false,beijing,SKU-021,6,10.90,2026-01-14,ok
182,50,shenzhen,retail,27.33,true,shanghai,SKU-022,7,11.90,2026-01-15,ok
183,51,guangzhou,web,27.67,false,shanghai,SKU-023,8,12.90,2026-01-16,ok
184,52,chengdu,app,28.00,true,shenzhen,SKU-024,1,13.90,2026-01-17,ok
185,53,hangzhou,retail,28.33,false,shenzhen,SKU-025,2,14.90,2026-01-18,ok
186,54,beijing,web,28.67,true,guangzhou,SKU-026,3,15.90,2026-01-19,ok
187,55,shanghai,app,29.00,false,guangzhou,SKU-027,4,16.90,2026-01-20,ok
188,56,shenzhen,retail,29.33,true,chengdu,SKU-028,5,17.90,2026-01-21,ok
189,57,guangzhou,web,29.67,false,chengdu,SKU-029,6,18.90,2026-01-22,ok
190,58,chengdu,app,30.00,true,hangzhou,SKU-030,7,19.90,2026-01-23,ok
191,59,hangzhou,retail,30.33,false,hangzhou,SKU-031,8,20.90,2026-01-24,ok
192,60,beijing,web,30.67,true,beijing,SKU-032,1,21.90,2026-01-25,ok
193,61,shanghai,app,31.00,false,beijing,SKU-033,2,22.90,2026-01-26,ok
194,62,shenzhen,retail,31.33,true,shanghai,SKU-034,3,23.90,2026-01-27,ok
195,63,guangzhou,web,31.67,false,shanghai,SKU-035,4,24.90,2026-01-28,ok
196,64,chengdu,app,32.00,true,shenzhen,SKU-036,5,25.90,2026-01-01,ok
197,65,hangzhou,retail,32.33,false,shenzhen,SKU-037,6,26.90,2026-01-02,ok
198,66,beijing,web,32.67,true,guangzhou,SKU-038,7,27.90,2026-01-03,ok
199,67,shanghai,app,33.00,false,guangzhou,SKU-039,8,28.90,2026-01-04,ok
200,18,shenzhen,retail,0.00,true,chengdu,SKU-000,1,9.90,2026-01-05,ok
201,19,guangzhou,web,0.33,false,chengdu,SKU-001,2,10.90,2026-01-06,ok
202,20,chengdu,app,0.67,true,hangzhou,SKU-002,3,11.90,2026-01-07,ok
203,21,hangzhou,retail,1.00,false,hangzhou,SKU-003,4,12.90,2026-01-08,ok
204,22,beijing,web,1.33,true,beijing,SKU-004,5,13.90,2026-01-09,ok
205,23,shanghai,app,1.67,false,beijing,SKU-005,6,14.90,2026-01-10,ok
206,24,shenzhen,retail,2.00,true,shanghai,SKU-006,7,15.90,2026-01-11,ok
207,25,guangzhou,web,2.33,false,shanghai,SKU-007,8,16.90,2026-01-12,ok
208,26,chengdu,app,2.67,true,shenzhen,SKU-008,1,17.90,2026-01-13,ok
209,27,hangzhou,retail,3.00,false,shenzhen,SKU-009,2,18.90,2026-01-14,ok
210,28,beijing,web,3.33,true,guangzhou,SKU-010,3,19.90,2026-01-15,ok
211,29,shanghai,app,3.67,false,guangzhou,SKU-011,4,20.90,2026-01-16,ok
212,30,shenzhen,retail,4.00,true,chengdu,SKU-012,5,21.90,2026-01-17,ok
213,31,guangzhou,web,4.33,false,chengdu,SKU-013,6,22.90,2026-01-18,ok
214,32,chengdu,app,4.67,true,hangzhou,SKU-014,7,23.90,2026-01-19,ok
215,33,hangzhou,retail,5.00,false,hangzhou,SKU-015,8,24.90,2026-01-20,ok
216,34,beijing,web,5.33,true,beijing,SKU-016,1,25.90,2026-01-21,ok
217,35,shanghai,app,5.67,false,beijing,SKU-017,2,26.90,2026-01-22,ok
218,36,shenzhen,retail,6.00,true,shanghai,SKU-018,3,27.90,2026-01-23,ok
219,37,guangzhou,web,6.33,false,shanghai,SKU-019,4,28.90,2026-01-24,ok
220,38,chengdu,app,6.67,true,shenzhen,SKU-020,5,9.90,2026-01-25,ok
221,39,hangzhou,retail,7.00,false,shenzhen,SKU-021,6,10.90,2026-01-26,ok
222,40,beijing,web,7.33,true,guangzhou,SKU-022,7,11.90,2026-01-27,ok
223,41,shanghai,app,7.67,false,guangzhou,SKU-023,8,12.90,2026-01-28,ok
224,42,shenzhen,retail,8.00,true,chengdu,SKU-024,1,13.90,2026-01-01,ok
225,43,guangzhou,web,8.33,false,chengdu,SKU-025,2,14.90,2026-01-02,ok
226,44,chengdu,app,8.67,true,hangzhou,SKU-026,3,15.90,2026-01-03,ok
227,45,hangzhou,retail,9.00,false,hangzhou,SKU-027,4,16.90,2026-01-04,ok
228,46,beijing,web,9.33,true,beijing,SKU-028,5,17.90,2026-01-05,ok
229,47,shanghai,app,9.67,false,beijing,SKU-029,6,18.90,2026-01-06,ok
230,48,shenzhen,retail,10.00,true,shanghai,SKU-030,7,19.90,2026-01-07,ok
231,49,guangzhou,web,10.33,false,shanghai,SKU-031,8,20.90,2026-01-08,ok
232,50,chengdu,app,10.67,true,shenzhen,SKU-032,1,21.90,2026-01-09,ok
233,51,hangzhou,retail,11.00,false,shenzhen,SKU-033,2,22.90,2026-01-10,ok
234,52,beijing,web,11.33,true,guangzhou,SKU-034,3,23.90,2026-01-11,ok
235,53,shanghai,app,11.67,false,guangzhou,SKU-035,4,24.90,2026-01-12,ok
236,54,shenzhen,retail,12.00,true,chengdu,SKU-036,5,25.90,2026-01-13,ok
237,55,guangzhou,web,12.33,false,chengdu,SKU-037,6,26.90,2026-01-14,ok
238,56,chengdu,app,12.67,true,hangzhou,SKU-038,7,27.90,2026-01-15,ok
239,57,hangzhou,retail,13.00,false,hangzhou,SKU-039,8,28.90,2026-01-16,ok
240,58,beijing,web,13.33,true,beijing,SKU-000,1,9.90,2026-01-17,ok
241,59,shanghai,app,13.67,false,beijing,SKU-001,2,10.90,2026-01-18,ok
242,60,shenzhen,retail,14.00,true,shanghai,SKU-002,3,11.90,2026-01-19,ok
243,61,guangzhou,web,14.33,false,shanghai,SKU-003,4,12.90,2026-01-20,ok
244,62,chengdu,app,14.67,true,shenzhen,SKU-004,5,13.90,2026-01-21,ok
245,63,hangzhou,retail,15.00,false,shenzhen,SKU-005,6,14.90,2026-01-22,ok
246,64,beijing,web,15.33,true,guangzhou,SKU-006,7,15.90,2026-01-23,ok
247,65,shanghai,app,15.67,false,guangzhou,SKU-007,8,16.90,2026-01-24,ok
248,66,shenzhen,retail,16.00,true,chengdu,SKU-008,1,17.90,2026-01-25,ok
249,67,guangzhou,web,16.33,false,chengdu,SKU-009,2,18.90,2026-01-26,ok
250,18,chengdu,app,16.67,true,hangzhou,SKU-010,3,19.90,2026-01-27,ok
251,19,hangzhou,retail,17.00,false,hangzhou,SKU-011,4,20.90,2026-01-28,ok
252,20,beijing,web,17.33,true,beijing,SKU-012,5,21.90,2026-01-01,ok
253,21,shanghai,app,17.67,false,beijing,SKU-013,6,22.90,2026-01-02,ok
254,22,shenzhen,retail,18.00,true,shanghai,SKU-014,7,23.90,2026-01-03,ok
255,23,guangzhou,web,18.33,false,shanghai,SKU-015,8,24.90,2026-01-04,ok
256,24,chengdu,app,18.67,true,shenzhen,SKU-016,1,25.90,2026-01-05,ok
257,25,hangzhou,retail,19.00,false,shenzhen,SKU-017,2,26.90,2026-01-06,ok
258,26,beijing,web,19.33,true,guangzhou,SKU-018,3,27.90,2026-01-07,ok
259,27,shanghai,app,19.67,false,guangzhou,SKU-019,4,28.90,2026-01-08,ok
260,28,shenzhen,retail,20.00,true,chengdu,SKU-020,5,9.90,2026-01-09,ok
261,29,guangzhou,web,20.33,false,chengdu,SKU-021,6,10.90,2026-01-10,ok
262,30,chengdu,app,20.67,true,hangzhou,SKU-022,7,11.90,2026-01-11,ok
263,31,hangzhou,retail,21.00,false,hangzhou,SKU-023,8,12.90,2026-01-12,ok
264,32,beijing,web,21.33,true,beijing,SKU-024,1,13.90,2026-01-13,ok
265,33,shanghai,app,21.67,false,beijing,SKU-025,2,14.90,2026-01-14,ok
266,34,shenzhen,retail,22.00,true,shanghai,SKU-026,3,15.90,2026-01-15,ok
267,35,guangzhou,web,22.33,false,shanghai,SKU-027,4,16.90,2026-01-16,ok
268,36,chengdu,app,22.67,true,shenzhen,SKU-028,5,17.90,2026-01-17,ok
269,37,hangzhou,retail,23.00,false,shenzhen,SKU-029,6,18.90,2026-01-18,ok
270,38,beijing,web,23.33,true,guangzhou,SKU-030,7,19.90,2026-01-19,ok
271,39,shanghai,app,23.67,false,guangzhou,SKU-031,8,20.90,2026-01-20,ok
272,40,shenzhen,retail,24.00,true,chengdu,SKU-032,1,21.90,2026-01-21,ok
273,41,guangzhou,web,24.33,false,chengdu,SKU-033,2,22.90,2026-01-22,ok
274,42,chengdu,app,24.67,true,hangzhou,SKU-034,3,23.90,2026-01-23,ok
275,43,hangzhou,retail,25.00,false,hangzhou,SKU-035,4,24.90,2026-01-24,ok
276,44,beijing,web,25.33,true,beijing,SKU-036,5,25.90,2026-01-25,ok
277,45,shanghai,app,25.67,false,beijing,SKU-037,6,26.90,2026-01-26,ok
278,46,shenzhen,retail,26.00,true,shanghai,SKU-038,7,27.90,2026-01-27,ok
279,47,guangzhou,web,26.33,false,shanghai,SKU-039,8,28.90,2026-01-28,ok
280,48,chengdu,app,26.67,true,shenzhen,SKU-000,1,9.90,2026-01-01,ok
281,49,hangzhou,retail,27.00,false,shenzhen,SKU-001,2,10.90,2026-01-02,ok
282,50,beijing,web,27.33,true,guangzhou,SKU-002,3,11.90,2026-01-03,ok
283,51,shanghai,app,27.67,false,guangzhou,SKU-003,4,12.90,2026-01-04,ok
284,52,shenzhen,retail,28.00,true,chengdu,SKU-004,5,13.90,2026-01-05,ok
285,53,guangzhou,web,28.33,false,chengdu,SKU-005,6,14.90,2026-01-06,ok
286,54,chengdu,app,28.67,true,hangzhou,SKU-006,7,15.90,2026-01-07,ok
287,55,hangzhou,retail,29.00,false,hangzhou,SKU-007,8,16.90,2026-01-08,ok
288,56,beijing,web,29.33,true,beijing,SKU-008,1,17.90,2026-01-09,ok
289,57,shanghai,app,29.67,false,beijing,SKU-009,2,18.90,2026-01-10,ok
290,58,shenzhen,retail,30.00,true,shanghai,SKU-010,3,19.90,2026-01-11,ok
291,59,guangzhou,web,30.33,false,shanghai,SKU-011,4,20.90,2026-01-12,ok
292,60,chengdu,app,30.67,true,shenzhen,SKU-012,5,21.90,2026-01-13,ok
293,61,hangzhou,retail,31.00,false,shenzhen,SKU-013,6,22.90,2026-01-14,ok
294,62,beijing,web,31.33,true,guangzhou,SKU-014,7,23.90,2026-01-15,ok
295,63,shanghai,app,31.67,false,guangzhou,SKU-015,8,24.90,2026-01-16,ok
296,64,shenzhen,retail,32.00,true,chengdu,SKU-016,1,25.90,2026-01-17,ok
297,65,guangzhou,web,32.33,false,chengdu,SKU-017,2,26.90,2026-01-18,ok
298,66,chengdu,app,32.67,true,hangzhou,SKU-018,3,27.90,2026-01-19,ok
299,67,hangzhou,retail,33.00,false,hangzhou,SKU-019,4,28.90,2026-01-20,ok
300,18,beijing,web,0.00,true,beijing,SKU-020,5,9.90,2026-01-21,ok
301,19,shanghai,app,0.33,false,beijing,SKU-021,6,10.90,2026-01-22,ok
302,20,shenzhen,retail,0.67,true,shanghai,SKU-022,7,11.90,2026-01-23,ok
303,21,guangzhou,web,1.00,false,shanghai,SKU-023,8,12.90,2026-01-24,ok
304,22,chengdu,app,1.33,true,shenzhen,SKU-024,1,13.90,2026-01-25,ok
305,23,hangzhou,retail,1.67,false,shenzhen,SKU-025,2,14.90,2026-01-26,ok
306,24,beijing,web,2.00,true,guangzhou,SKU-026,3,15.90,2026-01-27,ok
307,25,shanghai,app,2.33,false,guangzhou,SKU-027,4,16.90,2026-01-28,ok
308,26,shenzhen,retail,2.67,true,chengdu,SKU-028,5,17.90,2026-01-01,ok
